,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
DATE,TIME,A,C,L,M,N,S,T,0,A,C,L,M,N,S,T,,A,C,L,M,N,S,T,1,A,C,L,M,N,S,T,,A,C,L,M,N,S,T,0,A,C,L,M,N,S,T,,A,C,L,M,N,S,T,0,A,C,L,M,N,S,T
2-Feb-13,8:00:00,A,C,L,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:00:12,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:00:13,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:00:48,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:01:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:01:01,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:01:45,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,L>,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:01:52,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:02:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:03:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:03:30,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
