,date_time,A_alone,A_in_gate_moving_toward,A_position,C_alone,C_in_gate_moving_toward,C_position,DD_contains,G1_contains,G2_contains,G3_contains,G4_contains,L_alone,L_in_gate_moving_toward,L_position,MN_contains,M_alone,M_in_gate_moving_toward,M_position,NH_contains,N_alone,N_in_gate_moving_toward,N_position,SH_contains,S_alone,S_in_gate_moving_toward,S_position,T_alone,T_in_gate_moving_toward,T_position
0,2-Feb-13 8:00:00,,,MN,,,MN,[],[],[],[],[],,,MN,"['A', 'C', 'L', 'M', 'N', 'T']",,,MN,['S'],,,MN,[],NH,,NH,,,MN
1,2-Feb-13 8:00:12,,,MN,,,MN,[],[],[],[],[],,,MN,"['A', 'C', 'L', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
2,2-Feb-13 8:00:13,,,MN,,,MN,[],[],[],[],[],SH,,SH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,['L'],,,MN,,,MN
3,2-Feb-13 8:00:48,,,MN,,,MN,[],[],[],[],[],,,MN,"['A', 'C', 'L', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
4,2-Feb-13 8:01:00,,,MN,,,MN,[],[],[],[],[],,,MN,"['A', 'C', 'L', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
5,2-Feb-13 8:01:01,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
6,2-Feb-13 8:01:45,,,MN,,,MN,[],[],['L'],[],[],G2,DD,G2,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
7,2-Feb-13 8:01:52,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
8,2-Feb-13 8:02:00,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
9,2-Feb-13 8:03:00,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
10,2-Feb-13 8:03:30,,,MN,,,MN,[],[],[],[],[],,,MN,"['A', 'C', 'L', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
11,2-Feb-13 8:03:37,SH,,SH,,,MN,[],[],[],[],[],,,MN,"['C', 'L', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,['A'],,,MN,,,MN
12,2-Feb-13 8:03:38,,,SH,,,MN,[],[],[],[],[],,,MN,"['C', 'L', 'M', 'N', 'S']",,,MN,[],,,MN,"['A', 'T']",,,MN,,,SH
13,2-Feb-13 8:03:42,DD,,DD,,,MN,['A'],[],[],[],[],,,MN,"['C', 'L', 'M', 'N', 'S']",,,MN,[],,,MN,['T'],,,MN,SH,,SH
14,2-Feb-13 8:03:42,,,DD,,,MN,"['A', 'T']",[],[],[],[],,,MN,"['C', 'L', 'M', 'N', 'S']",,,MN,[],,,MN,[],,,MN,,,DD
15,2-Feb-13 8:03:58,,,DD,,,MN,"['A', 'T']",[],[],[],[],NH,,NH,"['C', 'M', 'N', 'S']",,,MN,['L'],,,MN,[],,,MN,,,DD
16,2-Feb-13 8:04:00,,,DD,,,MN,"['A', 'T']",[],[],[],[],NH,,NH,"['C', 'M', 'N', 'S']",,,MN,['L'],,,MN,[],,,MN,,,DD
17,2-Feb-13 8:04:15,DD,,DD,,,MN,['A'],[],[],[],[],NH,,NH,"['C', 'M', 'N', 'S']",,,MN,['L'],,,MN,['T'],,,MN,SH,,SH
18,2-Feb-13 8:04:16,,,SH,,,MN,[],[],[],[],[],NH,,NH,"['C', 'M', 'N', 'S']",,,MN,['L'],,,MN,"['A', 'T']",,,MN,,,SH
19,2-Feb-13 8:04:25,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S']",,,MN,['L'],,,MN,['T'],,,MN,SH,,SH
20,2-Feb-13 8:04:26,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
21,2-Feb-13 8:04:53,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'T']",,,MN,['L'],,,MN,['S'],SH,,SH,,,MN
22,2-Feb-13 8:05:00,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'T']",,,MN,['L'],,,MN,['S'],SH,,SH,,,MN
23,2-Feb-13 8:05:04,,,MN,,,MN,[],[],['L'],[],[],G2,DD,G2,"['A', 'C', 'M', 'N', 'T']",,,MN,[],,,MN,['S'],SH,,SH,,,MN
24,2-Feb-13 8:05:13,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'T']",,,MN,['L'],,,MN,['S'],SH,,SH,,,MN
25,2-Feb-13 8:05:25,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
26,2-Feb-13 8:06:00,,,MN,,,MN,[],[],[],[],[],NH,,NH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,['L'],,,MN,[],,,MN,,,MN
27,2-Feb-13 8:06:23,,,NH,,,MN,[],[],[],[],[],,,NH,"['C', 'M', 'N', 'S', 'T']",,,MN,"['A', 'L']",,,MN,[],,,MN,,,MN
28,2-Feb-13 8:06:29,,,NH,,,MN,[],[],[],[],[],,,NH,"['C', 'M', 'N', 'S']",,,MN,"['A', 'L', 'T']",,,MN,[],,,MN,,,NH
29,2-Feb-13 8:06:38,,,NH,,,MN,[],[],[],[],[],,,MN,"['C', 'L', 'M', 'N', 'S']",,,MN,"['A', 'T']",,,MN,[],,,MN,,,NH
30,2-Feb-13 8:06:49,,,NH,,,MN,[],[],[],[],[],SH,,SH,"['C', 'M', 'N', 'S']",,,MN,"['A', 'T']",,,MN,['L'],,,MN,,,NH
31,2-Feb-13 8:06:52,NH,,NH,,,MN,[],[],[],[],[],SH,,SH,"['C', 'M', 'N', 'S', 'T']",,,MN,['A'],,,MN,['L'],,,MN,,,MN
32,2-Feb-13 8:06:54,,,MN,,,MN,[],[],[],[],[],SH,,SH,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,['L'],,,MN,,,MN
33,2-Feb-13 8:06:55,,,MN,,,MN,['L'],[],[],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
34,2-Feb-13 8:07:00,,,MN,,,MN,['L'],[],[],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'S', 'T']",,,MN,[],,,MN,[],,,MN,,,MN
35,2-Feb-13 8:07:01,,,MN,,,MN,['L'],[],[],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'T']",,,MN,['S'],,,MN,[],NH,,NH,,,MN
36,2-Feb-13 8:07:27,,,MN,,,MN,['L'],[],['S'],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'T']",,,MN,[],,,MN,[],G2,DD,G2,,,MN
37,2-Feb-13 8:07:31,,,MN,,,MN,[],[],['S'],[],[],SH,,SH,"['A', 'C', 'M', 'N', 'T']",,,MN,[],,,MN,['L'],G2,DD,G2,,,MN
38,2-Feb-13 8:07:33,,,MN,,,MN,[],[],[],[],[],SH,,SH,"['A', 'C', 'M', 'N', 'T']",,,MN,['S'],,,MN,['L'],NH,,NH,,,MN
39,2-Feb-13 8:07:42,,,MN,,,MN,[],[],[],['L'],[],G3,,G3,"['A', 'C', 'M', 'N', 'T']",,,MN,['S'],,,MN,[],NH,,NH,,,MN
40,2-Feb-13 8:07:50,,,MN,,,MN,['L'],[],[],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'T']",,,MN,['S'],,,MN,[],NH,,NH,,,MN
41,2-Feb-13 8:07:52,,,MN,,,MN,['L'],[],['S'],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'T']",,,MN,[],,,MN,[],G2,DD,G2,,,MN
42,2-Feb-13 8:08:00,,,MN,,,MN,['L'],[],['S'],[],[],DD,,DD,"['A', 'C', 'M', 'N', 'T']",,,MN,[],,,MN,[],G2,DD,G2,,,MN
43,2-Feb-13 8:08:03,,,MN,,,MN,[],[],['S'],[],[],SH,,SH,"['A', 'C', 'M', 'N', 'T']",,,MN,[],,,MN,['L'],G2,DD,G2,,,MN
44,2-Feb-13 8:08:05,,,MN,,,MN,[],[],[],[],[],SH,,SH,"['A', 'C', 'M', 'N', 'T']",,,MN,['S'],,,MN,['L'],NH,,NH,,,MN
